39, State-gov, 77516, Bachelors, 13, Never-married, Adm-clerical, Not-in-family, White, Male, 2174, 0, 40, United-States, <=50K
37, ?,248701, Bachelors,13, Never-married, ?, Not-in-family, White, Female,4,0,40, United-States, <=50K
59, Private,393974, Bachelors,3, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,-1,40, United-States, <=50K
36, State-gov,331395, Bachelors,13, Divorced, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,39,1772,40, Germany, >50K
33, State-gov,170251, Masters,11, Married-civ-spouse, Prof-specialty, Wife, White, Male,-11,5,39, United-States, >50K
67, Private,267666, Assoc-acdm,12, Married-spouse-absent, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,63,1,34, United-States, <=50K
44, Private,273602, HS-grad,8, Married-civ-spouse, Other-service, Unmarried, Asian-Pac-Islander, Male,21,0,39, Columbia, <=50K
59, Federal-gov,56397, Prof-school,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,101,0,39, United-States, <=50K
25, Private,53649, Some-college,2, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,-130,1,39, Hong, <=50K
37, Private,49070, 10th,12, Never-married, Prof-specialty, Wife, White, Male,35,0,39, United-States, <=50K
53, Local-gov,41309, Some-college,5, Married-civ-spouse, ?, Husband, White, Female,27,1947,43, United-States, >50K
30, Private,208771, 7th-8th,4, Never-married, Prof-specialty, Not-in-family, White, Male,18,0,39, United-States, <=50K
28, Private,405837, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,89,0,50, United-States, <=50K
56, ?,214087, HS-grad,8, Separated, Adm-clerical, Unmarried, Black, Female,33,1,35, United-States, <=50K
29, Private,187810, HS-grad,9, Married-civ-spouse, Other-service, Husband, White, Male,18,-2,39, United-States, <=50K
41, Private,67265, Bachelors,13, Divorced, Prof-specialty, Not-in-family, White, Female,3466,3,39, United-States, <=50K
43, Private,46887, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,88,0,50, South, >50K
19, Private,252010, 11th,4, Never-married, Machine-op-inspct, Own-child, White, Male,71,0,39, United-States, <=50K
43, Private,450128, Some-college,14, Widowed, ?, Unmarried, White, Female,80,-5,23, United-States, <=50K
42, Private,106913, HS-grad,9, Never-married, Craft-repair, Not-in-family, White, Male,37,0,15, United-States, <=50K
31, Private,192100, Bachelors,12, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male,0,1733,39, Puerto-Rico, >50K
28, Private,35744, Assoc-acdm,10, Married-civ-spouse, Craft-repair, Husband, White, Male,-85,0,39, United-States, >50K
42, Self-emp-not-inc,110710, 7th-8th,3, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,118,-2,39, United-States, <=50K
48, Private,346280, HS-grad,8, Never-married, Machine-op-inspct, Own-child, White, Male,2,-2,39, United-States, <=50K
41, Private,378751, Assoc-acdm,10, Married-civ-spouse, Protective-serv, Not-in-family, White, Male,68,2,39, United-States, <=50K
48, State-gov,186296, Prof-school,14, Married-civ-spouse, Adm-clerical, Wife, White, Female,7233,1984,38, United-States, >50K
59, Private,37373, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,17,-2,40, South, <=50K
58, Local-gov,183951, Prof-school,14, Divorced, Protective-serv, Wife, White, Male,4538,-2,56, United-States, >50K
30, Local-gov,196225, HS-grad,9, Widowed, Adm-clerical, Unmarried, White, Female,-19,-2,37, United-States, <=50K
78, Private,172474, HS-grad,9, Separated, Adm-clerical, Unmarried, White, Female,27,-3,19, United-States, <=50K
43, Private,37159, HS-grad,9, Never-married, Handlers-cleaners, Unmarried, Other, Female,1,-2,39, United-States, <=50K
60, Private,322136, Bachelors,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,65,3,49, United-States, >50K
26, Private,218002, HS-grad,8, Widowed, Other-service, Own-child, White, Female,70,-1,66, United-States, <=50K
57, Federal-gov,426049, Some-college,10, Married-civ-spouse, Transport-moving, Husband, White, Male,61,-1,49, United-States, >50K
50, Private,124871, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,-23,0,43, United-States, <=50K
42, Private,199138, Bachelors,4, Never-married, Machine-op-inspct, Not-in-family, Black, Male,-21,2,36, Columbia, <=50K
23, ?,166622, Assoc-acdm,6, Never-married, ?, Own-child, White, Female,3999,0,10, United-States, <=50K
43, Self-emp-inc,125320, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,13,-3,49, United-States, <=50K
60, Private,207064, HS-grad,8, Widowed, Craft-repair, Not-in-family, White, Female,34,0,30, United-States, <=50K
60, State-gov,140782, HS-grad,4, Divorced, Adm-clerical, Unmarried, White, Female,18,3,39, United-States, <=50K
62, Private,302051, Assoc-acdm,12, Married-civ-spouse, Prof-specialty, Wife, White, Male,-28,-4,54, United-States, >50K
32, Self-emp-not-inc,361753, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,-6,0,39, United-States, <=50K
62, Private,99210, HS-grad,9, Divorced, Adm-clerical, Unmarried, White, Female,25,-4,33, United-States, <=50K
41, Private,144789, 9th,3, Married-civ-spouse, Farming-fishing, Husband, White, Male,-43,1,39, ?, <=50K
33, Private,516479, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,-29,1,39, United-States, <=50K
61, Private,145668, 5th-6th,12, Never-married, Exec-managerial, Husband, White, Male,-14,1832,44, United-States, >50K
48, Self-emp-not-inc,55948, Masters,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,60,1,39, United-States, <=50K
31, Private,149600, HS-grad,8, Married-civ-spouse, Handlers-cleaners, Other-relative, White, Male,4484,2,19, United-States, <=50K
35, Private,243713, Masters,13, Married-civ-spouse, Sales, Wife, White, Male,14777,3,54, United-States, >50K
29, Self-emp-not-inc,46087, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,-44,2,44, United-States, >50K
53, Private,171952, Assoc-voc,9, Married-civ-spouse, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Male,49,0,50, United-States, <=50K
23, Private,32530, Some-college,13, Never-married, Prof-specialty, Not-in-family, White, Male,16,0,35, Puerto-Rico, <=50K
48, Private,40883, HS-grad,8, Married-civ-spouse, Transport-moving, Husband, White, Male,-3,0,39, United-States, <=50K
17, Private,271752, HS-grad,9, Never-married, Other-service, Not-in-family, Amer-Indian-Eskimo, Male,48,-1,39, United-States, <=50K
33, Federal-gov,282169, HS-grad,9, Married-civ-spouse, Transport-moving, Unmarried, White, Male,44,0,49, Germany, >50K
36, Local-gov,48788, Some-college,10, Divorced, Tech-support, Not-in-family, White, Male,13,-3,39, United-States, >50K
63, Self-emp-inc,183042, Masters,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,127,0,55, ?, >50K
47, Private,282101, 7th-8th,14, Married-spouse-absent, Adm-clerical, Unmarried, White, Female,89,-1,39, United-States, <=50K
28, Private,189133, Some-college,10, Married-civ-spouse, Other-service, Husband, White, Male,-43,0,49, United-States, <=50K
28, Never-worked,282499, 9th,13, Never-married, ?, Husband, White, Male,3076,-1,44, Dominican-Republic, <=50K
39, Private,132842, Bachelors,13, Widowed, Machine-op-inspct, Not-in-family, Black, Female,-64,3,39, United-States, <=50K
51, Federal-gov,118781, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Female,2876,0,44, India, <=50K
48, Private,124359, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,40,-3,48, United-States, >50K
64, Private,48523, HS-grad,8, Divorced, Adm-clerical, Not-in-family, Black, Female,-34,-2,34, United-States, <=50K
36, Private,182295, HS-grad,8, Married-civ-spouse, Adm-clerical, Other-relative, White, Female,43,0,39, United-States, <=50K
59, Self-emp-not-inc,372932, Some-college,9, Married-civ-spouse, ?, Not-in-family, Black, Male,-54,-2,39, United-States, <=50K
43, Local-gov,168383, HS-grad,8, Separated, Transport-moving, Not-in-family, White, Female,80,2,39, United-States, <=50K
31, Private,130071, Bachelors,13, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Male,64,0,39, ?, <=50K
33, Self-emp-inc,461613, HS-grad,8, Married-civ-spouse, Craft-repair, Husband, White, Male,17,-4,49, England, <=50K
30, Private,42340, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Male,-21,0,34, United-States, <=50K
47, Private,124823, HS-grad,8, Widowed, Machine-op-inspct, Wife, White, Female,37,-1,15, ?, <=50K
60, State-gov,283229, Bachelors,13, Widowed, Prof-specialty, Not-in-family, White, Female,7,1939,14, United-States, <=50K
24, Local-gov,408575, HS-grad,8, Widowed, Farming-fishing, Not-in-family, White, Female,64,2,12, United-States, <=50K
45, ?,52837, Assoc-voc,10, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,94,1,39, Guatemala, <=50K
30, Private,170974, Some-college,10, Married-civ-spouse, Tech-support, Husband, White, Male,-4,0,39, United-States, >50K
47, Self-emp-inc,43594, 12th,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,26,1,60, United-States, >50K
67, Private,332802, HS-grad,9, Never-married, Handlers-cleaners, Other-relative, White, Male,8,-1,14, India, <=50K
35, Self-emp-inc,349924, Some-college,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,7173,-2,57, United-States, >50K
46, Private,98851, Masters,9, Married-civ-spouse, Other-service, Husband, White, Male,-17,-2,40, United-States, >50K
22, Private,45801, Some-college,9, Never-married, ?, Own-child, White, Male,36,1,39, Mexico, <=50K
57, Private,203338, HS-grad,9, Separated, ?, Not-in-family, White, Female,-68,3,49, United-States, <=50K
35, Never-worked,214802, HS-grad,8, Never-married, Sales, Unmarried, Other, Female,-49,1775,32, Honduras, >50K
47, State-gov,54986, Masters,13, Married-civ-spouse, Prof-specialty, Wife, White, Female,10,3,49, United-States, >50K
27, Private,94008, HS-grad,9, Never-married, Other-service, Own-child, White, Female,-16,-2,19, United-States, <=50K
25, Private,171535, Bachelors,13, Never-married, Prof-specialty, Not-in-family, Other, Male,49,-4,40, United-States, <=50K
54, Private,231498, HS-grad,4, Never-married, Other-service, Not-in-family, White, Female,47,-3,22, Cuba, <=50K
19, Private,208260, HS-grad,8, Never-married, Craft-repair, Unmarried, White, Male,71,1,40, United-States, <=50K
41, State-gov,183956, 9th,4, Married-civ-spouse, Handlers-cleaners, Own-child, Asian-Pac-Islander, Male,22,-2,39, Dominican-Republic, <=50K
56, Private,40188, HS-grad,9, Divorced, Adm-clerical, Unmarried, White, Female,-40,-4,36, United-States, <=50K
31, Self-emp-not-inc,202716, HS-grad,8, Separated, ?, Unmarried, White, Female,-23,3,34, United-States, <=50K
20, ?,63069, Assoc-acdm,6, Never-married, ?, Own-child, White, Female,79,-1,14, United-States, <=50K
49, Self-emp-inc,289880, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,6,-1,45, United-States, >50K
37, Self-emp-not-inc,131589, Assoc-voc,13, Divorced, Exec-managerial, Unmarried, White, Female,33,-1,39, United-States, >50K
31, Private,356104, Some-college,4, Married-spouse-absent, ?, Not-in-family, White, Male,52,0,20, United-States, <=50K
39, Private,44606, Some-college,10, Widowed, Adm-clerical, Not-in-family, White, Male,1933,0,19, United-States, <=50K
19, Self-emp-not-inc,276454, Some-college,9, Married-civ-spouse, Handlers-cleaners, Own-child, White, Male,-57,-2,34, United-States, <=50K
25, Local-gov,265225, 9th,10, Married-civ-spouse, Craft-repair, Wife, White, Female,44,-1,39, England, >50K
30, State-gov,22437, Some-college,10, Married-civ-spouse, Tech-support, Husband, Asian-Pac-Islander, Male,36,1647,39, United-States, >50K
35, Private,161896, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,15,-3,27, United-States, <=50K
48, Private,198402, Bachelors,14, Never-married, Adm-clerical, Unmarried, White, Female,-25,-2,50, United-States, <=50K
37, Private,396842, 9th,4, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,69,-2,33, United-States, <=50K
47, Local-gov,287890, HS-grad,9, Separated, Machine-op-inspct, Husband, White, Male,2,0,49, El-Salvador, <=50K
40, Private,36786, 7th-8th,10, Married-civ-spouse, Farming-fishing, Husband, White, Male,49,0,50, Cuba, >50K
29, Self-emp-inc,414818, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,-35,0,48, Cuba, <=50K
26, Without-pay,268300, 11th,10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,-22,2134,43, United-States, <=50K
56, Private,128864, HS-grad,8, Divorced, Adm-clerical, Unmarried, White, Female,112,-3,25, United-States, <=50K
26, Private,32039, Bachelors,13, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,42,1,50, United-States, <=50K
26, Private,297138, HS-grad,9, Never-married, Handlers-cleaners, Not-in-family, White, Female,85,0,40, Mexico, <=50K
22, Private,232652, HS-grad,9, Never-married, Adm-clerical, Own-child, Amer-Indian-Eskimo, Female,10,-1,39, United-States, <=50K
32, Private,280413, 10th,6, Never-married, Exec-managerial, Own-child, Black, Female,49,-1,13, United-States, <=50K
21, Private,248446, 11th,5, Never-married, ?, Own-child, White, Male,12,0,40, United-States, <=50K
49, Private,102786, Assoc-voc,14, Divorced, Other-service, Wife, White, Female,-6,-1,49, United-States, <=50K
21, Private,44660, Prof-school,9, Never-married, ?, Not-in-family, White, Male,23,1895,23, United-States, <=50K
61, Private,217672, Assoc-acdm,13, Never-married, Exec-managerial, Not-in-family, Black, Male,20,0,18, United-States, <=50K
34, Self-emp-not-inc,355518, Some-college,3, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,22,-5,44, United-States, <=50K
31, Self-emp-inc,193879, Assoc-acdm,12, Married-civ-spouse, Exec-managerial, Husband, White, Female,-12,0,39, United-States, >50K
21, Private,449090, 11th,7, Never-married, Handlers-cleaners, Own-child, White, Male,45,-1,17, United-States, <=50K
27, Private,379498, HS-grad,8, Widowed, Craft-repair, Other-relative, Black, Male,46,0,40, United-States, <=50K
58, Self-emp-not-inc,212182, HS-grad,8, Never-married, Transport-moving, Not-in-family, White, Male,-94,1,10, United-States, <=50K
39, Self-emp-inc,335813, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,7600,0,40, United-States, >50K
20, Private,223074, HS-grad,8, Never-married, Handlers-cleaners, Own-child, White, Male,67,3,39, United-States, <=50K
32, Private,61589, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,-83,3,39, United-States, <=50K
46, State-gov,200821, Bachelors,12, Married-spouse-absent, Prof-specialty, Unmarried, Asian-Pac-Islander, Female,-1,0,71, ?, <=50K
45, State-gov,196900, HS-grad,8, Widowed, Adm-clerical, Unmarried, Black, Female,-77,2,39, United-States, <=50K
48, Without-pay,44114, 5th-6th,8, Separated, Sales, Not-in-family, White, Female,-23,0,18, United-States, <=50K
31, Self-emp-inc,203725, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,22,-3,40, United-States, >50K
72, Self-emp-not-inc,193957, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female,36,-4,39, United-States, <=50K
42, Private,209299, HS-grad,10, Never-married, Other-service, Not-in-family, Black, Female,111,-2,40, Jamaica, <=50K
48, Self-emp-inc,158905, Assoc-voc,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,-26,3,48, United-States, <=50K
19, Self-emp-not-inc,124500, 11th,7, Never-married, Protective-serv, Own-child, White, Male,-8,2,9, Mexico, <=50K
49, Private,194962, 9th,9, Married-civ-spouse, Handlers-cleaners, Unmarried, White, Female,-6,-2,39, Mexico, <=50K
19, Private,44670, 10th,5, Never-married, Craft-repair, Other-relative, White, Male,-5,1,39, Mexico, <=50K
51, Private,216202, 9th,12, Married-spouse-absent, Priv-house-serv, Not-in-family, White, Male,83,-1,23, United-States, <=50K
34, Self-emp-inc,190318, Bachelors,14, Married-civ-spouse, Exec-managerial, Wife, White, Male,7,-2,60, United-States, >50K
57, Private,96327, HS-grad,9, Never-married, Machine-op-inspct, Unmarried, White, Female,1,-2,58, United-States, <=50K
47, Private,375500, 9th,12, Married-spouse-absent, Machine-op-inspct, Husband, White, Male,79,0,39, Cuba, >50K
57, Private,126804, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,63,1,56, United-States, <=50K
21, Self-emp-not-inc,169445, Assoc-voc,9, Never-married, ?, Husband, White, Male,-21,0,39, United-States, <=50K
72, Private,111873, Assoc-acdm,2, Married-civ-spouse, Exec-managerial, Husband, White, Male,-28,0,40, United-States, <=50K
23, Private,65859, Masters,10, Married-civ-spouse, Sales, Husband, White, Male,-34,0,40, Mexico, >50K
33, Private,337451, Doctorate,7, Married-civ-spouse, Sales, Husband, White, Male,-47,0,40, Mexico, <=50K
41, Private,64898, Masters,13, Married-civ-spouse, Exec-managerial, Wife, White, Male,15363,1,39, Mexico, >50K
46, Private,361961, Bachelors,13, Married-spouse-absent, Transport-moving, Husband, White, Male,18,-3,40, Puerto-Rico, <=50K
39, Without-pay,190424, 7th-8th,10, Married-civ-spouse, Protective-serv, Husband, White, Male,-28,-4,48, El-Salvador, <=50K
34, Private,178294, 7th-8th,12, Never-married, Prof-specialty, Not-in-family, White, Female,28,2,39, United-States, <=50K
60, Private,108943, HS-grad,8, Never-married, Sales, Not-in-family, White, Male,-90,-2,39, United-States, <=50K
35, State-gov,263998, Masters,10, Widowed, Transport-moving, Not-in-family, Other, Male,7472,0,73, United-States, >50K
43, Self-emp-not-inc,212259, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,15271,0,58, United-States, >50K
50, Private,382477, Some-college,9, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,29,-1,49, United-States, <=50K
23, Private,218747, 5th-6th,12, Married-civ-spouse, ?, Own-child, White, Male,79,2009,39, South, <=50K
44, Private,114635, HS-grad,11, Married-civ-spouse, Sales, Not-in-family, White, Male,37,1,49, Puerto-Rico, <=50K
45, Without-pay,63066, 10th,4, Separated, Machine-op-inspct, Husband, Other, Male,37,1,39, United-States, <=50K
54, Federal-gov,190102, 7th-8th,12, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,-3,49, United-States, <=50K
43, Self-emp-inc,386738, Prof-school,10, Married-civ-spouse, Transport-moving, Husband, White, Male,4,2,57, United-States, >50K
34, Never-worked,340720, Masters,10, Married-civ-spouse, Prof-specialty, Husband, White, Male,30,1,40, Iran, <=50K
26, Private,291328, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,26,3,39, Cuba, >50K
39, Self-emp-inc,412362, HS-grad,4, Married-civ-spouse, Craft-repair, Husband, White, Male,-46,-1,69, United-States, <=50K
52, Self-emp-not-inc,317726, HS-grad,14, Married-civ-spouse, Transport-moving, Husband, White, Male,-18,-1,57, United-States, >50K
41, Local-gov,343878, Assoc-voc,12, Never-married, Protective-serv, Unmarried, White, Female,17,-1,39, United-States, <=50K
70, ?,401574, HS-grad,8, Widowed, Tech-support, Unmarried, White, Female,-2,3,39, United-States, <=50K
45, Self-emp-not-inc,43597, Bachelors,15, Married-civ-spouse, Protective-serv, Husband, White, Male,14741,1,45, China, >50K
44, Self-emp-not-inc,124844, Some-college,12, Married-civ-spouse, Sales, Not-in-family, White, Male,3465,0,40, United-States, <=50K
41, Local-gov,59441, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,-75,-2,29, United-States, <=50K
33, Private,173513, Bachelors,13, Never-married, Farming-fishing, Not-in-family, White, Male,19,-1,44, United-States, <=50K
44, Private,382968, 10th,8, Never-married, Other-service, Other-relative, White, Female,-27,1,33, United-States, <=50K
30, Private,254833, Some-college,9, Divorced, Other-service, Husband, White, Male,23,-4,32, United-States, <=50K
34, Private,109990, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,26,0,72, Mexico, >50K
61, Self-emp-inc,21994, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,47,-1,39, United-States, >50K
41, Private,421370, Assoc-acdm,3, Married-civ-spouse, Craft-repair, Own-child, White, Male,-45,-3,40, Canada, <=50K
54, Self-emp-not-inc,61097, Some-college,8, Married-civ-spouse, Craft-repair, Husband, White, Male,11,0,66, Cambodia, <=50K
55, Local-gov,99969, Some-college,10, Never-married, Exec-managerial, Not-in-family, White, Female,-22,3,40, United-States, >50K
35, Private,265516, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,-103,-2,57, United-States, >50K
48, State-gov,109473, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,110,-2,40, Jamaica, >50K
35, Private,173846, Bachelors,6, Never-married, Farming-fishing, Own-child, Other, Male,-103,2,40, South, <=50K
35, Private,232487, Some-college,9, Married-civ-spouse, ?, Husband, White, Male,32,-1,40, Mexico, <=50K
27, Private,69600, Some-college,9, Never-married, Exec-managerial, Not-in-family, White, Male,-60,0,39, United-States, <=50K
32, Private,258849, HS-grad,9, Never-married, Craft-repair, Not-in-family, White, Male,8,0,20, United-States, <=50K
31, Private,60566, HS-grad,8, Divorced, Craft-repair, Husband, White, Male,-43,-6,65, United-States, <=50K
34, Local-gov,48585, Prof-school,10, Married-civ-spouse, Sales, Husband, White, Male,12,0,44, United-States, >50K
33, Private,128775, HS-grad,8, Widowed, Sales, Not-in-family, White, Male,-8,0,40, United-States, <=50K
17, Private,118670, 12th,12, Never-married, Machine-op-inspct, Not-in-family, White, Female,23,-1,39, Guatemala, <=50K
39, Private,391513, Bachelors,8, Never-married, Craft-repair, Not-in-family, Black, Female,50,0,40, Jamaica, <=50K
46, Private,201774, Prof-school,5, Married-civ-spouse, Transport-moving, Wife, White, Female,13799,3,39, South, >50K
41, Private,126382, HS-grad,8, Married-civ-spouse, Farming-fishing, Other-relative, Other, Female,18,2,12, Mexico, <=50K
46, Private,130858, Some-college,10, Never-married, Craft-repair, Not-in-family, Black, Male,40,0,27, United-States, <=50K
19, Private,45815, 10th,5, Never-married, ?, Own-child, White, Male,-44,0,18, United-States, <=50K
16, ?,582165, 11th,7, Never-married, ?, Own-child, White, Male,92,-2,7, United-States, <=50K
17, Private,231201, HS-grad,8, Never-married, Adm-clerical, Own-child, White, Female,44,0,39, United-States, <=50K
34, Private,445911, 9th,8, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,11,4,39, United-States, <=50K
35, Private,121933, Some-college,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,6,-1,45, Japan, <=50K
32, Private,259635, Some-college,9, Separated, Adm-clerical, Unmarried, White, Female,-11,0,39, United-States, <=50K
47, Self-emp-inc,238554, 7th-8th,13, Married-civ-spouse, Sales, Husband, White, Male,-47,1,49, United-States, >50K
30, Private,275622, HS-grad,12, Never-married, Prof-specialty, Wife, Black, Female,-45,0,40, Puerto-Rico, <=50K
32, Private,248699, Assoc-voc,5, Never-married, Other-service, Unmarried, White, Female,-51,-3,27, Mexico, <=50K
66, State-gov,352219, Assoc-voc,11, Divorced, Adm-clerical, Unmarried, Black, Female,-20,-2,39, United-States, <=50K
61, Self-emp-inc,333061, HS-grad,8, Married-civ-spouse, Sales, Husband, White, Male,12,0,35, United-States, >50K
47, Private,320797, HS-grad,9, Divorced, Protective-serv, Unmarried, Amer-Indian-Eskimo, Female,-27,0,70, United-States, <=50K
53, State-gov,104404, Prof-school,15, Married-civ-spouse, Exec-managerial, Husband, White, Male,16120,-1,60, United-States, >50K
19, Private,260827, HS-grad,4, Never-married, Handlers-cleaners, Own-child, White, Male,-13,1,49, India, <=50K
41, Self-emp-not-inc,85923, HS-grad,10, Married-civ-spouse, Tech-support, Husband, White, Male,-57,-1,49, United-States, >50K
42, Self-emp-inc,384049, Prof-school,10, Married-civ-spouse, Farming-fishing, Husband, White, Male,-59,5,56, United-States, >50K
41, Self-emp-not-inc,116413, 5th-6th,12, Never-married, Craft-repair, Husband, White, Male,-10,1,18, United-States, <=50K
18, Private,256734, Some-college,13, Married-AF-spouse, Sales, Not-in-family, White, Male,36,0,39, United-States, <=50K
48, ?,187122, 10th,11, Divorced, Craft-repair, Wife, White, Male,-20,-3,56, United-States, <=50K
49, Private,54513, Masters,13, Married-civ-spouse, Prof-specialty, Husband, White, Female,4234,-3,49, United-States, >50K
63, Self-emp-not-inc,202612, Some-college,9, Married-civ-spouse, Protective-serv, Husband, White, Male,-4,1,57, United-States, <=50K
49, State-gov,56878, Bachelors,12, Divorced, Adm-clerical, Not-in-family, Black, Female,3268,1,31, United-States, <=50K
61, Federal-gov,434925, 7th-8th,10, Separated, Sales, Not-in-family, Black, Female,49,0,32, United-States, <=50K
30, Private,385160, HS-grad,8, Never-married, Handlers-cleaners, Other-relative, White, Female,32,0,39, India, <=50K
37, Local-gov,114835, Bachelors,12, Separated, Prof-specialty, Not-in-family, White, Female,-7,0,39, United-States, <=50K
37, State-gov,110390, Bachelors,12, Never-married, ?, Not-in-family, White, Male,36,-3,22, United-States, <=50K
59, Self-emp-not-inc,353309, Doctorate,6, Married-civ-spouse, ?, Husband, White, Male,53,-2,26, Germany, <=50K
27, Private,268447, 7th-8th,13, Married-spouse-absent, Machine-op-inspct, Not-in-family, White, Male,-35,0,40, United-States, <=50K
45, ?,278526, Assoc-acdm,6, Separated, ?, Not-in-family, White, Female,19,1891,39, United-States, >50K
37, Private,320884, Some-college,13, Widowed, Adm-clerical, Unmarried, Black, Female,-4,0,32, United-States, <=50K
58, Private,172905, HS-grad,8, Divorced, Adm-clerical, Unmarried, White, Female,126,-2,39, United-States, <=50K
64, Private,297497, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,-54,1,39, Dominican-Republic, <=50K
54, Self-emp-not-inc,207873, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,-13,1,33, India, <=50K
49, Private,40033, HS-grad,11, Divorced, Sales, Other-relative, White, Female,72,-1,90, United-States, <=50K
50, ?,113275, Bachelors,9, Divorced, Adm-clerical, Unmarried, White, Female,-79,4,40, United-States, <=50K
21, ?,60953, 11th,7, Never-married, ?, Own-child, White, Male,-49,0,39, United-States, <=50K
23, Private,226479, HS-grad,8, Widowed, Other-service, Wife, White, Female,114,-3,39, United-States, <=50K
59, Self-emp-not-inc,131657, HS-grad,8, Married-civ-spouse, Exec-managerial, Husband, Black, Male,-2,1,39, Puerto-Rico, <=50K
39, Self-emp-not-inc,221696, 12th,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,45,1,58, Taiwan, <=50K
47, Self-emp-not-inc,292513, 7th-8th,4, Divorced, Prof-specialty, Husband, White, Female,-14,0,39, Cuba, <=50K
61, State-gov,461447, HS-grad,9, Separated, Adm-clerical, Not-in-family, Black, Female,20,1,15, United-States, <=50K
37, Private,161360, Bachelors,12, Married-spouse-absent, Prof-specialty, Not-in-family, White, Male,-43,-4,39, United-States, <=50K
24, State-gov,175200, Bachelors,9, Never-married, Adm-clerical, Own-child, Amer-Indian-Eskimo, Male,68,0,49, United-States, <=50K
39, Private,168298, Some-college,4, Never-married, Handlers-cleaners, Own-child, Asian-Pac-Islander, Male,73,0,40, Mexico, <=50K
46, Self-emp-not-inc,368462, HS-grad,8, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Male,-32,0,45, United-States, <=50K
35, State-gov,159390, Bachelors,13, Divorced, Adm-clerical, Unmarried, White, Female,0,-3,17, United-States, <=50K
37, Private,118184, Assoc-acdm,10, Married-civ-spouse, Sales, Not-in-family, White, Male,6814,-2,39, United-States, <=50K
59, Private,351872, Assoc-voc,8, Married-spouse-absent, Exec-managerial, Not-in-family, White, Female,70,-2,40, United-States, <=50K
29, Local-gov,132084, Assoc-voc,13, Divorced, Prof-specialty, Unmarried, White, Male,2379,3,55, United-States, >50K
38, Local-gov,299631, Masters,13, Married-civ-spouse, Transport-moving, Husband, White, Male,34,1,58, United-States, <=50K
46, Local-gov,180397, 12th,13, Married-spouse-absent, Exec-managerial, Not-in-family, White, Female,55,1,40, United-States, <=50K
